# Weather station Albury (airport), Australia, WMO_ID=95896,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95896&lang=en
#
"Local time in Albury (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"17.11.2018 09:00";"21.2";"749.8";"764.2";"0.9";"46";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"";"";"";"";"";"";
"17.11.2018 08:00";"19.7";"749.7";"764.2";"1.1";"47";"Wind blowing from the south-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"No precipitation";"24";"";"";"";"";
"17.11.2018 06:00";"16.4";"748.9";"763.4";"0.9";"60";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"17.11.2018 05:00";"14.8";"748.6";"763.0";"0.6";"65";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"17.11.2018 03:00";"14.4";"748.0";"762.4";"-0.2";"68";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"17.11.2018 02:00";"15.9";"748.0";"762.4";"-0.3";"64";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"No precipitation";"6";"";"";"";"";
"17.11.2018 00:00";"17.7";"748.2";"762.6";"0.5";"60";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.8";"";"";"";"";"";"";
"16.11.2018 23:00";"16.5";"748.3";"762.7";"1.1";"60";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"27.2";"";"";"";"";"";"";"8.7";"";"";"";"";"";"";
"16.11.2018 21:00";"18.1";"747.7";"762.1";"0.9";"56";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.2";"";"";"";"";"";"";
"16.11.2018 20:00";"20.3";"747.2";"761.6";"0.4";"44";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.7";"No precipitation";"6";"";"";"";"";
"16.11.2018 18:00";"25.7";"746.8";"761.2";"-0.6";"26";"Wind blowing from the west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"16.11.2018 17:00";"26.1";"746.8";"761.2";"-1.2";"27";"Wind blowing from the west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"16.11.2018 15:00";"26.3";"747.4";"761.8";"-1.8";"28";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.4";"";"";"";"";"";"";
"16.11.2018 14:00";"25.4";"748.0";"762.4";"-1.8";"33";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"No precipitation";"6";"";"";"";"";
"16.11.2018 12:00";"23.0";"749.2";"763.6";"-1.2";"39";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"16.11.2018 11:00";"22.5";"749.8";"764.3";"-1.0";"41";"Wind blowing from the north";"3";"";"";"";" ";"";"";"10.3";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"16.11.2018 09:00";"19.1";"750.4";"764.9";"0.0";"50";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"16.11.2018 08:00";"16.8";"750.8";"765.3";"0.6";"57";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"0.2";"24";"";"";"";"";
"16.11.2018 06:00";"12.6";"750.4";"764.9";"0.3";"72";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"16.11.2018 05:00";"10.7";"750.2";"764.7";"0.1";"82";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"16.11.2018 03:00";"12.4";"750.1";"764.5";"-0.6";"74";"Wind blowing from the north-northeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.9";"";"";"";"";"";"";
"16.11.2018 02:00";"14.1";"750.1";"764.6";"-0.6";"66";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.9";"No precipitation";"6";"";"";"";"";
"16.11.2018 00:00";"14.3";"750.7";"765.2";"0.4";"65";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"15.11.2018 23:00";"14.7";"750.7";"765.1";"1.0";"65";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"27.2";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"15.11.2018 21:00";"16.3";"750.3";"764.8";"1.8";"60";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"15.11.2018 20:00";"17.4";"749.7";"764.2";"1.7";"58";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"No precipitation";"6";"";"";"";"";
"15.11.2018 18:00";"21.2";"748.5";"762.9";"0.7";"50";"Wind blowing from the south-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.4";"";"";"";"";"";"";
"15.11.2018 17:00";"25.5";"748.0";"762.4";"-0.3";"15";"Wind blowing from the west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.0";"";"";"";"";"";"";
"15.11.2018 15:00";"26.3";"747.8";"762.2";"-1.1";"27";"Wind blowing from the west-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"15.11.2018 14:00";"25.7";"748.3";"762.7";"-0.9";"36";"Wind blowing from the north-west";"3";"";"";"10%  or less, but not 0";" ";"Precipitation";"Precipitation";"";"";"";"";"2000-2500";"";"";"";"9.5";"0.2";"6";"";"";"";"";
"15.11.2018 12:00";"25.0";"748.9";"763.4";"-0.5";"38";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.7";"";"";"";"";"";"";
"15.11.2018 11:00";"22.8";"749.2";"763.6";"0.0";"44";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"Precipitation";"12.0";"";"";"";"";"";"";"";"9.9";"";"";"";"";"";"";
"15.11.2018 09:00";"20.3";"749.4";"763.9";"1.1";"69";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.4";"";"";"";"";"";"";
"15.11.2018 08:00";"18.8";"749.2";"763.6";"1.5";"76";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.5";"7.0";"24";"";"";"";"";
"15.11.2018 06:00";"14.2";"748.3";"762.7";"1.3";"100";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.2";"";"";"";"";"";"";
"15.11.2018 05:00";"14.1";"747.7";"762.1";"0.8";"100";"Wind blowing from the west-southwest";"3";"";"";"50%.";" ";"";"";"";"";"";"";"300-600";"";"";"";"14.1";"";"";"";"";"";"";
"15.11.2018 03:00";"15.4";"747.0";"761.4";"0.2";"100";"Wind blowing from the west-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.4";"";"";"";"";"";"";
"15.11.2018 02:00";"15.5";"746.9";"761.3";"0.1";"100";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.5";"No precipitation";"6";"";"";"";"";
"15.11.2018 00:00";"16.7";"746.8";"761.2";"0.2";"97";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.2";"";"";"";"";"";"";
"14.11.2018 23:00";"17.7";"746.8";"761.2";"0.9";"92";"Calm, no wind";"0";"";"";"";" ";"";"";"";"27.7";"";"";"";"";"";"";"16.4";"";"";"";"";"";"";
"14.11.2018 21:00";"20.4";"746.6";"761.0";"1.3";"74";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.6";"";"";"";"";"";"";
"14.11.2018 20:00";"19.8";"745.9";"760.3";"0.6";"81";"Calm, no wind";"0";"";"";"20–30%.";" ";"Precipitation";"Precipitation";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"16.4";"7.0";"6";"";"";"";"";
"14.11.2018 18:00";"22.3";"745.3";"759.7";"0.0";"71";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.8";"";"";"";"";"";"";
"14.11.2018 17:00";"22.4";"745.3";"759.7";"-0.2";"69";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"Precipitation";"";"";"";"";"";"";"";"";"16.4";"";"";"";"";"";"";
"14.11.2018 15:00";"24.4";"745.3";"759.7";"-1.2";"55";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.8";"";"";"";"";"";"";
"14.11.2018 14:00";"26.4";"745.5";"759.9";"-1.2";"50";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"15.1";"No precipitation";"6";"";"";"";"";
"14.11.2018 12:00";"24.0";"746.5";"760.9";"-0.3";"61";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.0";"";"";"";"";"";"";
"14.11.2018 11:00";"22.8";"746.7";"761.1";"0.2";"66";"Wind blowing from the west";"5";"";"";"50%.";" ";"";"";"16.9";"";"";"";"600-1000";"";"";"";"16.1";"";"";"";"";"";"";
"14.11.2018 09:00";"20.7";"746.8";"761.2";"0.7";"76";"Wind blowing from the west-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.3";"";"";"";"";"";"";
"14.11.2018 08:00";"19.2";"746.5";"760.9";"0.9";"90";"Calm, no wind";"0";"";"";"100%.";" ";"Precipitation";"Precipitation";"";"";"";"";"200-300";"";"";"";"17.5";"12.0";"24";"";"";"";"";
"14.11.2018 06:00";"17.1";"746.1";"760.5";"0.5";"100";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.1";"";"";"";"";"";"";
"14.11.2018 05:00";"17.1";"745.6";"760.0";"-0.2";"100";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Precipitation ";"";"Precipitation";"";"";"";"";"50-100";"";"";"5.0";"17.1";"";"";"";"";"";"";
"14.11.2018 03:00";"17.2";"745.6";"760.0";"-1.5";"100";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.2";"";"";"";"";"";"";
"14.11.2018 02:00";"17.1";"745.8";"760.2";"-1.4";"100";"Calm, no wind";"0";"";"";"100%.";"Precipitation, slight or moderate. ";"Precipitation";"Precipitation";"";"";"";"";"600-1000";"";"";"7.0";"17.1";"4.0";"6";"";"";"";"";
"14.11.2018 00:00";"17.4";"747.1";"761.5";"-0.4";"100";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.4";"";"";"";"";"";"";
"13.11.2018 23:00";"17.6";"747.2";"761.6";"-0.1";"100";"Wind blowing from the north-east";"1";"";"";"100%.";"Precipitation ";"";"Precipitation";"";"26.9";"";"";"300-600";"";"";"";"17.6";"";"";"";"";"";"";
"13.11.2018 21:00";"17.6";"747.5";"761.9";"0.8";"100";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.6";"";"";"";"";"";"";
"13.11.2018 20:00";"17.8";"747.3";"761.7";"0.7";"98";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Precipitation, slight or moderate. ";"Precipitation";"Precipitation";"";"";"";"";"200-300";"";"";"";"17.5";"6.0";"6";"";"";"";"";
"13.11.2018 18:00";"18.1";"746.7";"761.1";"0.4";"95";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.3";"";"";"";"";"";"";
"13.11.2018 17:00";"19.2";"746.6";"761.0";"0.0";"90";"Wind blowing from the north";"2";"";"";"100%.";"Precipitation, slight or moderate. ";"";"Precipitation";"";"";"";"";"1500-2000";"";"";"";"17.5";"";"";"";"";"";"";
"13.11.2018 15:00";"20.9";"746.3";"760.7";"-0.3";"74";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.1";"";"";"";"";"";"";
"13.11.2018 14:00";"21.5";"746.6";"761.0";"-0.7";"75";"Wind blowing from the north-northeast";"2";"";"";"90  or more, but not 100%";"Precipitation ";"Precipitation";"Precipitation";"";"";"";"";"1000-1500";"";"";"";"16.9";"1.0";"6";"";"";"";"";
"13.11.2018 12:00";"24.8";"746.6";"761.0";"-0.8";"43";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.4";"";"";"";"";"";"";
"13.11.2018 11:00";"26.4";"747.3";"761.7";"0.2";"38";"Wind blowing from the south-east";"2";"";"";"40%.";" ";"";"";"14.2";"";"";"";"2000-2500";"";"";"";"10.9";"";"";"";"";"";"";
"13.11.2018 09:00";"22.2";"747.4";"761.8";"0.8";"52";"Wind blowing from the east-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.9";"";"";"";"";"";"";
"13.11.2018 08:00";"19.9";"747.1";"761.5";"0.9";"60";"Wind blowing from the south";"3";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"11.9";"No precipitation";"24";"";"";"";"";
"13.11.2018 06:00";"16.2";"746.6";"761.0";"0.9";"70";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.7";"";"";"";"";"";"";
"13.11.2018 05:00";"14.4";"746.2";"760.6";"0.5";"79";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"10.8";"";"";"";"";"";"";
"13.11.2018 03:00";"15.0";"745.7";"760.1";"-1.0";"73";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.2";"";"";"";"";"";"";
"13.11.2018 02:00";"17.2";"745.7";"760.1";"-1.3";"62";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"9.9";"No precipitation";"6";"";"";"";"";
"13.11.2018 00:00";"19.1";"746.7";"761.1";"-0.5";"56";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"12.11.2018 23:00";"20.5";"747.0";"761.4";"-0.1";"49";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"31.2";"";"";"2500 or more, or no clouds.";"";"";"";"9.4";"";"";"";"";"";"";
"12.11.2018 21:00";"22.2";"747.2";"761.6";"0.3";"46";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";
"12.11.2018 20:00";"24.0";"747.1";"761.5";"0.1";"38";"Wind blowing from the south-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"8.8";"No precipitation";"6";"";"";"";"";
"12.11.2018 18:00";"26.9";"746.9";"761.3";"-0.3";"27";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"12.11.2018 17:00";"28.7";"747.0";"761.4";"-0.8";"20";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"12.11.2018 15:00";"29.3";"747.2";"761.6";"-1.7";"21";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"12.11.2018 14:00";"29.1";"747.8";"762.2";"-2.0";"22";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"No precipitation";"6";"";"";"";"";
"12.11.2018 12:00";"29.0";"748.9";"763.4";"-1.8";"24";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.4";"";"";"";"";"";"";
"12.11.2018 11:00";"27.0";"749.8";"764.2";"-1.1";"31";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"10.3";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"12.11.2018 09:00";"21.9";"750.7";"765.2";"0.2";"53";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.9";"";"";"";"";"";"";
"12.11.2018 08:00";"18.7";"750.9";"765.4";"0.8";"61";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.0";"No precipitation";"24";"";"";"";"";
"12.11.2018 06:00";"14.0";"750.5";"765.0";"0.8";"68";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"12.11.2018 05:00";"11.1";"750.1";"764.6";"0.6";"80";"Wind blowing from the north-northeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"12.11.2018 03:00";"11.1";"749.7";"764.2";"-0.1";"79";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"12.11.2018 02:00";"13.5";"749.5";"764.0";"-0.2";"71";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"No precipitation";"6";"";"";"";"";
"12.11.2018 00:00";"14.0";"749.8";"764.2";"0.6";"65";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"11.11.2018 23:00";"15.2";"749.7";"764.2";"1.1";"61";"Calm, no wind";"0";"";"";"";" ";"";"";"";"29.1";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"11.11.2018 21:00";"17.4";"749.2";"763.7";"1.2";"54";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"11.11.2018 20:00";"20.5";"748.6";"763.1";"0.9";"37";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"No precipitation";"6";"";"";"";"";
"11.11.2018 18:00";"26.7";"748.0";"762.4";"-0.1";"22";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"11.11.2018 17:00";"27.7";"747.7";"762.1";"-0.9";"19";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";
"11.11.2018 15:00";"28.7";"748.1";"762.5";"-1.4";"20";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"11.11.2018 14:00";"26.9";"748.6";"763.0";"-1.3";"24";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"No precipitation";"6";"";"";"";"";
"11.11.2018 12:00";"25.7";"749.5";"763.9";"-1.2";"26";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"11.11.2018 11:00";"24.8";"749.9";"764.4";"-0.8";"31";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"8.8";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"11.11.2018 09:00";"20.8";"750.7";"765.1";"0.7";"45";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"11.11.2018 08:00";"17.9";"750.7";"765.2";"1.2";"54";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"No precipitation";"24";"";"";"";"";
"11.11.2018 06:00";"10.9";"750.0";"764.5";"1.1";"75";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"11.11.2018 05:00";"9.5";"749.5";"763.9";"0.8";"83";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"11.11.2018 03:00";"11.2";"748.9";"763.4";"0.1";"72";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"11.11.2018 02:00";"11.6";"748.7";"763.2";"0.0";"69";"Wind blowing from the east-northeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"No precipitation";"6";"";"";"";"";
"11.11.2018 00:00";"13.5";"748.8";"763.3";"0.5";"62";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.4";"";"";"";"";"";"";
"10.11.2018 23:00";"14.8";"748.7";"763.2";"0.9";"55";"Wind blowing from the east-southeast";"1";"";"";"";" ";"";"";"";"26.5";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"10.11.2018 21:00";"15.9";"748.3";"762.7";"1.2";"52";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"10.11.2018 20:00";"16.9";"747.8";"762.2";"0.8";"52";"Wind blowing from the north-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"No precipitation";"6";"";"";"";"";
"10.11.2018 18:00";"24.2";"747.1";"761.5";"0.0";"24";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.4";"";"";"";"";"";"";
"10.11.2018 17:00";"25.9";"747.0";"761.4";"-0.4";"17";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.0";"";"";"";"";"";"";
"10.11.2018 15:00";"25.5";"747.1";"761.5";"-1.1";"20";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.9";"";"";"";"";"";"";
"10.11.2018 14:00";"25.6";"747.4";"761.8";"-1.2";"19";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.3";"No precipitation";"6";"";"";"";"";
"10.11.2018 12:00";"23.1";"748.2";"762.6";"-1.0";"28";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"10.11.2018 11:00";"22.3";"748.6";"763.1";"-0.9";"31";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"7.8";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"10.11.2018 09:00";"18.7";"749.2";"763.7";"-0.2";"46";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"10.11.2018 08:00";"15.1";"749.5";"763.9";"0.6";"59";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"No precipitation";"24";"";"";"";"";
"10.11.2018 06:00";"9.8";"749.4";"763.9";"0.8";"73";"Wind blowing from the east-southeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"10.11.2018 05:00";"8.2";"748.9";"763.4";"0.3";"81";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"10.11.2018 03:00";"8.4";"748.6";"763.0";"-0.3";"81";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"10.11.2018 02:00";"9.4";"748.6";"763.0";"-0.5";"79";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"No precipitation";"6";"";"";"";"";
"10.11.2018 00:00";"11.3";"748.9";"763.4";"-0.3";"69";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"09.11.2018 23:00";"11.1";"749.1";"763.6";"0.2";"69";"Calm, no wind";"0";"";"";"";" ";"";"";"";"23.6";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"09.11.2018 21:00";"14.9";"749.2";"763.7";"0.9";"57";"Wind blowing from the east-southeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"09.11.2018 20:00";"16.6";"748.9";"763.3";"0.7";"42";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"3.7";"No precipitation";"6";"";"";"";"";
"09.11.2018 18:00";"20.6";"748.3";"762.7";"-0.1";"29";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";
"09.11.2018 17:00";"20.7";"748.2";"762.6";"-0.6";"29";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"2.0";"";"";"";"";"";"";
"09.11.2018 15:00";"21.0";"748.4";"762.8";"-1.4";"28";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.8";"";"";"";"";"";"";
"09.11.2018 14:00";"20.6";"748.8";"763.3";"-1.8";"26";"Wind blowing from the west";"7";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"0.4";"No precipitation";"6";"";"";"";"";
"09.11.2018 12:00";"20.7";"749.8";"764.3";"-1.6";"31";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.0";"";"";"";"";"";"";
"09.11.2018 11:00";"19.6";"750.6";"765.1";"-1.0";"32";"Wind blowing from the west";"5";"";"";"50%.";" ";"";"";"5.9";"";"";"";"2000-2500";"";"";"";"2.5";"";"";"";"";"";"";
"09.11.2018 09:00";"16.2";"751.4";"765.9";"0.1";"49";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
"09.11.2018 08:00";"12.9";"751.6";"766.1";"0.6";"60";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"No precipitation";"24";"";"";"";"";
"09.11.2018 06:00";"7.3";"751.3";"765.8";"0.8";"81";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"09.11.2018 05:00";"5.9";"751.0";"765.5";"0.5";"86";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"09.11.2018 03:00";"7.5";"750.5";"765.0";"-0.4";"79";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"09.11.2018 02:00";"7.7";"750.5";"765.0";"-0.4";"79";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"No precipitation";"6";"";"";"";"";
