# Weather station Launceston (airport), Australia, WMO_ID=95966,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95966&lang=en
#
"Local time in Launceston (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.08.2018 08:00";"9.5";"743.9";"759.2";"0.7";"79";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";
"14.08.2018 07:00";"8.6";"743.5";"758.8";"0.3";"83";"Wind blowing from the north-west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"14.08.2018 06:00";"8.7";"743.4";"758.7";"0.2";"84";"Wind blowing from the north-northwest";"7";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"14.08.2018 05:00";"9.2";"743.2";"758.5";"-0.3";"83";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"14.08.2018 04:00";"9.6";"743.2";"758.5";"-0.2";"83";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"14.08.2018 03:00";"9.8";"743.2";"758.5";"-0.1";"81";"Wind blowing from the north-west";"9";"";"";"40%.";"No significant weather observed. ";"";"";"";"";"";"";"1500-2000";"";"";"";"6.7";"No precipitation";"6";"";"";"";"";
"14.08.2018 02:00";"10.3";"743.5";"758.8";"0.1";"78";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.6";"";"";"";"";"";"";
"14.08.2018 01:00";"10.1";"743.4";"758.7";"-0.1";"80";"Wind blowing from the north";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"14.08.2018 00:00";"10.4";"743.3";"758.6";"-0.1";"79";"Wind blowing from the north";"8";"";"";"100%.";"No significant weather observed. ";"";"";"";"13.8";"";"";"1000-1500";"";"";"";"6.9";"";"";"";"";"";"";
"13.08.2018 23:00";"10.6";"743.4";"758.7";"0.0";"77";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"13.08.2018 22:00";"9.7";"743.5";"758.8";"0.6";"78";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"13.08.2018 21:00";"9.8";"743.4";"758.7";"0.8";"77";"Wind blowing from the north-northwest";"7";"";"";"70 – 80%.";"No significant weather observed. ";"";"";"";"";"";"";"1500-2000";"";"";"";"6.0";"No precipitation";"6";"";"";"";"";
"13.08.2018 20:00";"9.9";"743.4";"758.7";"0.8";"79";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"13.08.2018 19:00";"9.7";"742.9";"758.2";"0.5";"77";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"13.08.2018 18:00";"10.0";"742.6";"757.8";"0.4";"75";"Wind blowing from the north-northwest";"7";"";"";"40%.";"No significant weather observed. ";"";"";"";"";"";"";"1500-2000";"";"";"";"5.8";"";"";"";"";"";"";
"13.08.2018 17:00";"11.2";"742.6";"757.8";"-0.5";"68";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
"13.08.2018 16:00";"12.8";"742.4";"757.6";"-0.8";"62";"Wind blowing from the north-west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"13.08.2018 15:00";"12.3";"742.2";"757.4";"-2.0";"68";"Wind blowing from the north";"9";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"1000-1500";"";"";"";"6.6";"No precipitation";"6";"";"";"";"";
"13.08.2018 14:00";"12.4";"743.1";"758.4";"-1.6";"69";"Wind blowing from the north-west";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"13.08.2018 13:00";"12.7";"743.2";"758.5";"-1.8";"76";"Wind blowing from the north-northwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"13.08.2018 12:00";"9.9";"744.2";"759.5";"-1.0";"86";"Wind blowing from the north-northwest";"9";"";"";"100%.";"Drizzle, not freezing, moderate. ";"";"";"2.1";"";"";"";"200-300";"";"";"6.0";"7.7";"";"";"";"";"";"";
"13.08.2018 11:00";"9.8";"744.7";"760.0";"-0.4";"75";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"13.08.2018 10:00";"8.0";"745.0";"760.3";"0.3";"75";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"13.08.2018 09:00";"6.5";"745.2";"760.5";"1.4";"80";"Wind blowing from the north-northwest";"5";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"1500-2000";"";"";"";"3.3";"No precipitation";"24";"";"";"";"";
"13.08.2018 08:00";"4.1";"745.1";"760.4";"2.5";"85";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.8";"";"";"";"";"";"";
"13.08.2018 07:00";"3.3";"744.7";"760.0";"2.0";"85";"Wind blowing from the north-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"";"";"";
"13.08.2018 06:00";"2.6";"743.8";"759.1";"1.3";"85";"Wind blowing from the north-northwest";"4";"";"";"60%.";"No significant weather observed. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"0.3";"";"";"";"";"";"";
"13.08.2018 05:00";"3.7";"742.6";"757.8";"0.0";"82";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";
"13.08.2018 04:00";"2.5";"742.7";"757.9";"0.4";"82";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.3";"";"";"";"";"";"";
"13.08.2018 03:00";"3.0";"742.5";"757.7";"0.6";"79";"Wind blowing from the north";"4";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"-0.3";"No precipitation";"6";"";"";"";"";
"13.08.2018 02:00";"3.3";"742.6";"757.8";"0.9";"85";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"";"";"";
"13.08.2018 01:00";"5.3";"742.3";"757.6";"0.8";"80";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"13.08.2018 00:00";"5.9";"741.9";"757.1";"0.7";"73";"Wind blowing from the north-west";"5";"";"";"";"No significant weather observed. ";"";"";"";"10.7";"";"";"";"";"";"";"1.4";"";"";"";"";"";"";
"12.08.2018 23:00";"4.5";"741.7";"757.0";"1.1";"76";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";
"12.08.2018 22:00";"5.4";"741.5";"756.7";"1.5";"69";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.2";"";"";"";"";"";"";
"12.08.2018 21:00";"6.7";"741.2";"756.4";"1.6";"69";"Wind blowing from the north-west";"5";"";"";"40%.";"No significant weather observed. ";"";"";"";"";"";"";"2000-2500";"";"";"";"1.4";"No precipitation";"6";"";"";"";"";
"12.08.2018 20:00";"7.9";"740.6";"755.8";"1.2";"71";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.0";"";"";"";"";"";"";
"12.08.2018 19:00";"8.1";"740.0";"755.2";"0.0";"71";"Wind blowing from the north-west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"12.08.2018 18:00";"8.1";"739.6";"754.9";"-0.9";"80";"Wind blowing from the north-west";"7";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"12.08.2018 17:00";"8.5";"739.4";"754.6";"-1.5";"82";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"12.08.2018 16:00";"9.4";"740.0";"755.2";"-1.4";"76";"Wind blowing from the north-northwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"12.08.2018 15:00";"9.5";"740.5";"755.7";"-1.9";"75";"Wind blowing from the north-northwest";"9";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"600-1000";"";"";"";"5.3";"No precipitation";"6";"";"";"";"";
"12.08.2018 14:00";"8.5";"740.9";"756.1";"-1.8";"73";"Wind blowing from the north-northwest";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"12.08.2018 13:00";"9.4";"741.4";"756.7";"-1.5";"69";"Wind blowing from the north-northwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"12.08.2018 12:00";"8.4";"742.4";"757.6";"-0.5";"68";"Wind blowing from the north";"6";"";"";"100%.";"No significant weather observed. ";"";"";"-2.7";"";"";"";"1000-1500";"";"";"";"2.8";"";"";"";"";"";"";
"12.08.2018 11:00";"7.5";"742.7";"757.9";"0.0";"71";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.6";"";"";"";"";"";"";
"12.08.2018 10:00";"5.6";"742.9";"758.2";"0.6";"78";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"12.08.2018 09:00";"3.7";"742.9";"758.2";"1.1";"94";"Wind blowing from the north";"3";"";"";"10%  or less, but not 0";"Precipitation ";"Precipitation";"Precipitation";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"2.8";"0.8";"24";"";"";"";"";
"12.08.2018 08:00";"0.5";"742.7";"757.9";"1.3";"99";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";
"12.08.2018 07:00";"-1.9";"742.3";"757.5";"1.5";"98";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.2";"";"";"";"";"";"";
"12.08.2018 06:00";"-1.2";"741.8";"757.0";"1.5";"98";"Wind blowing from the north-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"Less than  50";"";"";"1.0";"-1.5";"";"";"";"";"";"";
"12.08.2018 05:00";"-0.5";"741.4";"756.6";"1.2";"97";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.9";"";"";"";"";"";"";
"12.08.2018 04:00";"1.0";"740.8";"756.1";"0.9";"95";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.3";"";"";"";"";"";"";
"12.08.2018 03:00";"0.6";"740.3";"755.5";"0.8";"95";"Wind blowing from the north-west";"3";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"-0.1";"No precipitation";"6";"";"";"";"";
"12.08.2018 02:00";"1.4";"740.2";"755.5";"0.8";"94";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"12.08.2018 01:00";"2.0";"739.9";"755.1";"1.2";"93";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"";"";"";
"12.08.2018 00:00";"2.8";"739.5";"754.7";"1.1";"91";"Wind blowing from the north-northwest";"2";"";"";"";"No significant weather observed. ";"";"";"";"9.5";"";"";"";"";"";"";"1.5";"";"";"";"";"";"";
"11.08.2018 23:00";"3.5";"739.4";"754.6";"1.3";"92";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.3";"";"";"";"";"";"";
"11.08.2018 22:00";"4.2";"738.7";"753.9";"1.2";"92";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.0";"";"";"";"";"";"";
"11.08.2018 21:00";"4.3";"738.4";"753.6";"1.2";"92";"Wind blowing from the north";"4";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"3.1";"No precipitation";"6";"";"";"";"";
"11.08.2018 20:00";"4.4";"738.1";"753.3";"1.5";"92";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"11.08.2018 19:00";"5.5";"737.5";"752.7";"1.5";"90";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"11.08.2018 18:00";"5.4";"737.2";"752.3";"1.6";"86";"Wind blowing from the north-northwest";"3";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"1500-2000";"";"";"";"3.3";"";"";"";"";"";"";
"11.08.2018 17:00";"7.3";"736.6";"751.8";"0.9";"82";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"11.08.2018 16:00";"8.8";"736.0";"751.1";"0.6";"79";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"11.08.2018 15:00";"9.0";"735.6";"750.7";"0.2";"77";"Wind blowing from the north-northwest";"6";"";"";"20–30%.";"No significant weather observed. ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"";"5.2";"0.6";"6";"";"";"";"";
"11.08.2018 14:00";"8.2";"735.7";"750.8";"0.0";"80";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"11.08.2018 13:00";"7.7";"735.4";"750.6";"0.0";"87";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"11.08.2018 12:00";"7.2";"735.4";"750.4";"0.1";"93";"Wind blowing from the north";"5";"";"";"100%.";"Drizzle (not freezing) or snow grains. ";"";"Precipitation";"6.0";"";"";"";"100-200";"";"";"";"6.1";"";"";"";"";"";"";
"11.08.2018 11:00";"7.0";"735.7";"750.8";"0.4";"95";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"11.08.2018 10:00";"7.1";"735.4";"750.4";"0.5";"96";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"11.08.2018 09:00";"6.7";"735.3";"750.4";"0.2";"97";"Wind blowing from the north";"4";"";"";"90  or more, but not 100%";" ";"Precipitation";"Precipitation";"";"";"";"";"Less than  50";"";"";"3.5";"6.3";"2.0";"24";"";"";"";"";
"11.08.2018 08:00";"6.5";"735.3";"750.4";"0.0";"97";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"11.08.2018 07:00";"6.0";"734.9";"750.0";"-1.0";"96";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"11.08.2018 06:00";"6.3";"735.1";"750.1";"-1.1";"96";"Wind blowing from the west-northwest";"1";"";"";"100%.";"Drizzle, not freezing, moderate. ";"";"Precipitation";"";"";"";"";"100-200";"";"";"5.0";"5.7";"";"";"";"";"";"";
"11.08.2018 05:00";"6.3";"735.3";"750.4";"-1.3";"96";"Wind blowing from the west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"11.08.2018 04:00";"6.3";"735.9";"751.0";"-1.5";"95";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"11.08.2018 03:00";"6.3";"736.2";"751.3";"-2.1";"95";"Wind blowing from the south";"4";"";"";"100%.";"Drizzle, not freezing, slight. ";"Precipitation";"Precipitation";"";"";"";"";"1500-2000";"";"";"";"5.6";"0.4";"6";"";"";"";"";
"11.08.2018 02:00";"6.3";"736.6";"751.8";"-2.4";"94";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"11.08.2018 01:00";"6.6";"737.4";"752.5";"-1.5";"93";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"11.08.2018 00:00";"6.8";"738.3";"753.4";"-0.5";"92";"Wind blowing from the south";"3";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"";"Precipitation";"";"14.5";"";"";"600-1000";"";"";"";"5.6";"";"";"";"";"";"";
"10.08.2018 23:00";"7.6";"739.0";"754.1";"0.0";"86";"Wind blowing from the west-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"10.08.2018 22:00";"8.9";"738.9";"754.0";"0.2";"73";"Wind blowing from the west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"10.08.2018 21:00";"9.0";"738.8";"754.0";"0.7";"74";"Wind blowing from the west";"5";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"2000-2500";"";"";"";"4.6";"No precipitation";"6";"";"";"";"";
"10.08.2018 20:00";"10.5";"739.0";"754.2";"1.2";"78";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"10.08.2018 19:00";"11.3";"738.7";"753.8";"0.8";"77";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"10.08.2018 18:00";"11.8";"738.1";"753.2";"0.1";"68";"Wind blowing from the north-northwest";"7";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"600-1000";"";"";"";"6.1";"";"";"";"";"";"";
"10.08.2018 17:00";"12.4";"737.8";"753.0";"-0.6";"64";"Wind blowing from the north";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"10.08.2018 16:00";"12.9";"737.9";"753.1";"-1.1";"63";"Wind blowing from the north-northwest";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";
"10.08.2018 15:00";"13.5";"738.0";"753.1";"-1.7";"60";"Wind blowing from the north-northwest";"11";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"1000-1500";"";"";"";"5.9";"No precipitation";"6";"";"";"";"";
"10.08.2018 14:00";"13.9";"738.4";"753.5";"-1.8";"59";"Wind blowing from the north";"13";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";
"10.08.2018 13:00";"13.5";"739.0";"754.2";"-1.7";"57";"Wind blowing from the north";"12";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"10.08.2018 12:00";"13.1";"739.7";"754.9";"-1.8";"59";"Wind blowing from the north";"13";"";"";"90  or more, but not 100%";"No significant weather observed. ";"";"";"8.5";"";"";"";"2500 or more, or no clouds.";"";"";"";"5.3";"";"";"";"";"";"";
"10.08.2018 11:00";"14.3";"740.2";"755.5";"-2.0";"55";"Wind blowing from the north";"13";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"10.08.2018 10:00";"13.0";"740.7";"755.9";"-1.7";"61";"Wind blowing from the north";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"10.08.2018 09:00";"11.4";"741.5";"756.7";"-1.2";"71";"Wind blowing from the north-northwest";"9";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"6.3";"No precipitation";"24";"";"";"";"";
"10.08.2018 08:00";"9.9";"742.2";"757.4";"-0.7";"79";"Wind blowing from the north";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"10.08.2018 07:00";"8.9";"742.4";"757.6";"-1.3";"81";"Wind blowing from the north";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"10.08.2018 06:00";"8.9";"742.7";"757.9";"-2.3";"81";"Wind blowing from the north-northwest";"9";"";"";"70 – 80%.";"No significant weather observed. ";"";"";"";"";"";"";"600-1000";"";"";"";"5.8";"";"";"";"";"";"";
"10.08.2018 05:00";"9.0";"742.9";"758.2";"-2.4";"78";"Wind blowing from the north";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"10.08.2018 04:00";"9.2";"743.7";"759.0";"-2.1";"80";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"10.08.2018 03:00";"9.5";"745.0";"760.3";"-1.2";"78";"Wind blowing from the north-northwest";"8";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"600-1000";"";"";"";"5.9";"No precipitation";"6";"";"";"";"";
"10.08.2018 02:00";"9.5";"745.3";"760.6";"-1.5";"77";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"10.08.2018 01:00";"9.4";"745.8";"761.1";"-0.8";"77";"Wind blowing from the north";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"10.08.2018 00:00";"9.5";"746.2";"761.5";"-0.6";"72";"Wind blowing from the north";"7";"";"";"100%.";"No significant weather observed. ";"";"";"";"13.3";"";"";"600-1000";"";"";"";"4.7";"";"";"";"";"";"";
"09.08.2018 23:00";"9.2";"746.8";"762.1";"0.3";"77";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"09.08.2018 22:00";"9.4";"746.6";"762.0";"0.3";"77";"Wind blowing from the north";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"09.08.2018 21:00";"9.3";"746.8";"762.1";"0.8";"80";"Wind blowing from the north-northwest";"7";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"300-600";"";"";"";"6.0";"No precipitation";"6";"";"";"";"";
"09.08.2018 20:00";"9.4";"746.5";"761.9";"0.9";"82";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"09.08.2018 19:00";"9.8";"746.3";"761.6";"0.5";"83";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"09.08.2018 18:00";"10.1";"746.0";"761.3";"0.1";"81";"Wind blowing from the north-northwest";"9";"";"";"90  or more, but not 100%";"No significant weather observed. ";"";"";"";"";"";"";"300-600";"";"";"";"7.0";"";"";"";"";"";"";
"09.08.2018 17:00";"10.4";"745.6";"760.9";"-0.3";"80";"Wind blowing from the north-northwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"09.08.2018 16:00";"10.8";"745.8";"761.1";"-0.6";"80";"Wind blowing from the north";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"09.08.2018 15:00";"11.2";"745.9";"761.2";"-0.8";"86";"Wind blowing from the north-northwest";"8";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"300-600";"";"";"";"8.9";"No precipitation";"6";"";"";"";"";
"09.08.2018 14:00";"13.1";"745.9";"761.2";"-1.2";"68";"Wind blowing from the north-northwest";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"09.08.2018 13:00";"11.9";"746.4";"761.8";"-1.0";"73";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"";"";"";"";"";"";
"09.08.2018 12:00";"12.5";"746.7";"762.1";"-0.4";"74";"Wind blowing from the north-northwest";"9";"";"";"90  or more, but not 100%";"No significant weather observed. ";"";"";"1.9";"";"";"";"600-1000";"";"";"";"8.0";"";"";"";"";"";"";
"09.08.2018 11:00";"10.4";"747.1";"762.5";"0.3";"81";"Wind blowing from the north";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"09.08.2018 10:00";"9.4";"747.4";"762.7";"1.2";"84";"Wind blowing from the north";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"09.08.2018 09:00";"8.1";"747.1";"762.5";"1.3";"86";"Wind blowing from the north";"7";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"300-600";"";"";"";"5.9";"No precipitation";"24";"";"";"";"";
"09.08.2018 08:00";"5.3";"746.8";"762.1";"1.2";"95";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"09.08.2018 07:00";"4.0";"746.2";"761.5";"1.2";"95";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"";"";"";"";"";"";
"09.08.2018 06:00";"3.4";"745.8";"761.1";"0.9";"92";"Wind blowing from the north-northwest";"4";"";"";"60%.";"No significant weather observed. ";"";"";"";"";"";"";"300-600";"";"";"";"2.2";"";"";"";"";"";"";
"09.08.2018 05:00";"3.4";"745.6";"760.9";"0.8";"93";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.4";"";"";"";"";"";"";
"09.08.2018 04:00";"2.5";"745.0";"760.3";"0.7";"88";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";
"09.08.2018 03:00";"3.8";"744.9";"760.2";"0.9";"86";"Wind blowing from the north-northwest";"2";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"1.7";"No precipitation";"6";"";"";"";"";
"09.08.2018 02:00";"3.4";"744.8";"760.1";"1.3";"87";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.4";"";"";"";"";"";"";
"09.08.2018 01:00";"4.2";"744.3";"759.6";"1.4";"85";"Wind blowing from the north-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.9";"";"";"";"";"";"";
"09.08.2018 00:00";"3.7";"744.0";"759.3";"2.0";"87";"Wind blowing from the north-northwest";"4";"";"";"100%.";"No significant weather observed. ";"";"";"";"13.8";"";"";"2500 or more, or no clouds.";"";"";"";"1.7";"";"";"";"";"";"";
